rep_idx,acc,asr,initial_acc,initial_asr,input_tokens,output_tokens,total_time_sec,defense_method,gamma,attack_method,attackpos,model_name,dataset_name,dataset_size
0,0.67,0.0,0.67,0.0,1448960,32061,70.91,sampleMIS,0.95,none,0,mistral7b,realtimeqa_sorted,100
1,0.69,0.0,0.69,0.0,1448689,32110,70.54,sampleMIS,0.95,none,0,mistral7b,realtimeqa_sorted,100
2,0.69,0.0,0.69,0.0,1447386,32381,69.91,sampleMIS,0.95,none,0,mistral7b,realtimeqa_sorted,100
3,0.67,0.0,0.67,0.0,1447367,32182,69.97,sampleMIS,0.95,none,0,mistral7b,realtimeqa_sorted,100
4,0.69,0.0,0.69,0.0,1449475,32105,67.64,sampleMIS,0.95,none,0,mistral7b,realtimeqa_sorted,100
