rep_idx,acc,asr,initial_acc,initial_asr,input_tokens,output_tokens,total_time_sec,defense_method,gamma,attack_method,attackpos,model_name,dataset_name,dataset_size
0,0.65,0.02,0.65,0.02,1224154,31475,106.87,sampleMIS,0.9,PIA,49,llama3b,realtimeqa_sorted,100
1,0.65,0.04,0.65,0.04,1227338,31659,105.82,sampleMIS,0.9,PIA,49,llama3b,realtimeqa_sorted,100
2,0.7,0.03,0.7,0.03,1227033,31623,104.2,sampleMIS,0.9,PIA,49,llama3b,realtimeqa_sorted,100
3,0.7,0.03,0.7,0.03,1229743,31455,106.24,sampleMIS,0.9,PIA,49,llama3b,realtimeqa_sorted,100
4,0.67,0.03,0.67,0.03,1225566,31665,106.41,sampleMIS,0.9,PIA,49,llama3b,realtimeqa_sorted,100
