rep_idx,acc,asr,initial_acc,initial_asr,input_tokens,output_tokens,total_time_sec,defense_method,gamma,attack_method,attackpos,model_name,dataset_name,dataset_size
0,0.0,0.01,0.0,0.01,680880,15478,40.61,MIS,0.9,PIA,0,llama3b,realtimeqa_sorted-mc,100
1,0.0,0.01,0.0,0.01,680757,15492,36.13,MIS,0.9,PIA,0,llama3b,realtimeqa_sorted-mc,100
2,0.0,0.01,0.0,0.01,680729,15504,36.11,MIS,0.9,PIA,0,llama3b,realtimeqa_sorted-mc,100
3,0.0,0.01,0.0,0.01,680729,15504,36.17,MIS,0.9,PIA,0,llama3b,realtimeqa_sorted-mc,100
4,0.0,0.01,0.0,0.01,680729,15494,36.06,MIS,0.9,PIA,0,llama3b,realtimeqa_sorted-mc,100
