rep_idx,acc,asr,initial_acc,initial_asr,input_tokens,output_tokens,total_time_sec,defense_method,gamma,attack_method,attackpos,model_name,dataset_name,dataset_size
0,0.4,0.11,0.4,0.11,1985341,33333,182.5,sampleMIS,0.9,PIA,0,mistral7b,realtimeqa_sorted,100
1,0.31,0.11,0.31,0.11,1986109,33377,182.48,sampleMIS,0.9,PIA,0,mistral7b,realtimeqa_sorted,100
2,0.36,0.1,0.36,0.1,1978685,33338,182.72,sampleMIS,0.9,PIA,0,mistral7b,realtimeqa_sorted,100
3,0.38,0.14,0.38,0.14,1993810,33322,181.61,sampleMIS,0.9,PIA,0,mistral7b,realtimeqa_sorted,100
4,0.38,0.15,0.39,0.15,2010853,33311,183.16,sampleMIS,0.9,PIA,0,mistral7b,realtimeqa_sorted,100
