rep_idx,acc,asr,initial_acc,initial_asr,input_tokens,output_tokens,total_time_sec,defense_method,gamma,attack_method,attackpos,model_name,dataset_name,dataset_size
0,0.63,0.28,0.63,0.28,867398,15565,35.19,MIS,1.0,PIA,0,mistral7b,realtimeqa_allrel_perturb,100
1,0.63,0.28,0.63,0.28,867398,15565,34.56,MIS,1.0,PIA,0,mistral7b,realtimeqa_allrel_perturb,100
2,0.63,0.28,0.63,0.28,867398,15565,34.44,MIS,1.0,PIA,0,mistral7b,realtimeqa_allrel_perturb,100
3,0.62,0.28,0.63,0.28,867398,15565,34.46,MIS,1.0,PIA,0,mistral7b,realtimeqa_allrel_perturb,100
4,0.62,0.28,0.62,0.28,867398,15565,34.44,MIS,1.0,PIA,0,mistral7b,realtimeqa_allrel_perturb,100
