rep_idx,acc,asr,initial_acc,initial_asr,input_tokens,output_tokens,total_time_sec,defense_method,gamma,attack_method,attackpos,model_name,dataset_name,dataset_size
0,0.35,0.39,0.36,0.39,3746590,72391,52.89,keyword,1.0,PIA,0,mistral7b,realtimeqa_allrel_perturb,100
1,0.35,0.39,0.35,0.39,3746590,72391,52.98,keyword,1.0,PIA,0,mistral7b,realtimeqa_allrel_perturb,100
2,0.35,0.38,0.34,0.38,3746615,72339,52.64,keyword,1.0,PIA,0,mistral7b,realtimeqa_allrel_perturb,100
3,0.35,0.39,0.35,0.39,3746590,72391,53.02,keyword,1.0,PIA,0,mistral7b,realtimeqa_allrel_perturb,100
4,0.35,0.39,0.35,0.39,3746590,72391,52.77,keyword,1.0,PIA,0,mistral7b,realtimeqa_allrel_perturb,100
