rep_idx,acc,asr,initial_acc,initial_asr,input_tokens,output_tokens,total_time_sec,defense_method,gamma,attack_method,attackpos,model_name,dataset_name,dataset_size
0,0.028,0.93,0.03,0.93,3705779,3887,123.28,none,1.0,PIA,0,mistral7b,open_nq_allrel_perturb,500
1,0.03,0.93,0.032,0.93,3705779,3887,123.61,none,1.0,PIA,0,mistral7b,open_nq_allrel_perturb,500
2,0.028,0.93,0.03,0.93,3705779,3887,123.71,none,1.0,PIA,0,mistral7b,open_nq_allrel_perturb,500
3,0.03,0.93,0.032,0.93,3705779,3887,123.21,none,1.0,PIA,0,mistral7b,open_nq_allrel_perturb,500
4,0.026,0.93,0.026,0.93,3705779,3887,123.14,none,1.0,PIA,0,mistral7b,open_nq_allrel_perturb,500
