rep_idx,acc,asr,initial_acc,initial_asr,input_tokens,output_tokens,total_time_sec,defense_method,gamma,attack_method,attackpos,model_name,dataset_name,dataset_size
0,0.638,0.118,0.634,0.118,7793694,158751,318.95,sampleMIS,0.9,PIA,0,mistral7b,open_nq_allrel_perturb,500
1,0.676,0.092,0.672,0.092,7779665,158992,315.65,sampleMIS,0.9,PIA,0,mistral7b,open_nq_allrel_perturb,500
2,0.618,0.112,0.622,0.112,7796488,159320,319.36,sampleMIS,0.9,PIA,0,mistral7b,open_nq_allrel_perturb,500
3,0.646,0.094,0.646,0.094,7786209,159084,317.71,sampleMIS,0.9,PIA,0,mistral7b,open_nq_allrel_perturb,500
4,0.662,0.092,0.658,0.092,7787231,159069,316.23,sampleMIS,0.9,PIA,0,mistral7b,open_nq_allrel_perturb,500
