rep_idx,acc,asr,initial_acc,initial_asr,input_tokens,output_tokens,total_time_sec,defense_method,gamma,attack_method,attackpos,model_name,dataset_name,dataset_size
0,0.426,0.262,0.418,0.262,13962630,280843,246.46,keyword,1.0,PIA,0,mistral7b,open_nq_allrel_perturb,500
1,0.404,0.264,0.422,0.264,13962594,280734,246.52,keyword,1.0,PIA,0,mistral7b,open_nq_allrel_perturb,500
2,0.428,0.262,0.418,0.262,13962599,280919,246.68,keyword,1.0,PIA,0,mistral7b,open_nq_allrel_perturb,500
3,0.422,0.262,0.424,0.262,13962599,280837,246.22,keyword,1.0,PIA,0,mistral7b,open_nq_allrel_perturb,500
4,0.428,0.262,0.428,0.262,13962604,280813,247.09,keyword,1.0,PIA,0,mistral7b,open_nq_allrel_perturb,500
