rep_idx,acc,asr,initial_acc,initial_asr,input_tokens,output_tokens,total_time_sec,defense_method,gamma,attack_method,attackpos,model_name,dataset_name,dataset_size
0,0.086,0.856,0.086,0.856,1861479,5095,77.03,none,1.0,PIA,0,mistral7b,open_nq_allrel_perturb,500
1,0.084,0.856,0.084,0.856,1861479,5095,76.83,none,1.0,PIA,0,mistral7b,open_nq_allrel_perturb,500
2,0.08,0.856,0.082,0.856,1861479,5095,76.88,none,1.0,PIA,0,mistral7b,open_nq_allrel_perturb,500
3,0.08,0.856,0.082,0.856,1861479,5095,76.82,none,1.0,PIA,0,mistral7b,open_nq_allrel_perturb,500
4,0.082,0.856,0.078,0.856,1861479,5095,77.0,none,1.0,PIA,0,mistral7b,open_nq_allrel_perturb,500
