rep_idx,acc,asr,initial_acc,initial_asr,input_tokens,output_tokens,total_time_sec,defense_method,gamma,attack_method,attackpos,model_name,dataset_name,dataset_size
0,0.73,0.03,0.73,0.03,698105,16985,32.05,keyword,1.0,PIA,0,mistral7b,realtimeqa_allrel_perturb,100
1,0.72,0.03,0.71,0.03,698105,16985,31.64,keyword,1.0,PIA,0,mistral7b,realtimeqa_allrel_perturb,100
2,0.72,0.03,0.72,0.03,698105,16985,31.67,keyword,1.0,PIA,0,mistral7b,realtimeqa_allrel_perturb,100
3,0.71,0.03,0.73,0.03,698105,16985,31.64,keyword,1.0,PIA,0,mistral7b,realtimeqa_allrel_perturb,100
4,0.7,0.03,0.71,0.03,698105,16985,31.66,keyword,1.0,PIA,0,mistral7b,realtimeqa_allrel_perturb,100
